UserID,Group,Week,Spend,Purchases
173366631,Test,10/06/2014,546.87,4
144427921,Test,10/06/2014,218.09,3
213641575,Test,10/06/2014,18.75,1
614549153,Control,10/06/2014,29.98,15
84652272,Test,10/06/2014,628.16,4
75292137,Test,10/06/2014,8.46,1
662294854,Test,10/06/2014,18.1,5
424363485,Test,10/06/2014,49.89,4
67627801,Test,10/06/2014,27.43,2
144562973,Control,10/06/2014,246.23,21
148136736,Test,10/06/2014,31.01,1
196958477,Test,10/06/2014,21.65,2
84392577,Test,10/06/2014,65.95,5
445123905,Control,10/06/2014,3445.77,6
90826676,Test,10/06/2014,0,0
218525041,Test,10/06/2014,60.41,2
142568393,Test,10/06/2014,1016.97,1
190877064,Control,10/06/2014,8.77,1
53957792,Control,10/06/2014,80.92,1
185185696,Test,10/06/2014,160.31,6
163257827,Test,10/06/2014,35.52,2
114221996,Control,10/06/2014,35.31,2
393591566,Test,10/06/2014,165.63,1
88267535,Test,10/06/2014,103.18,2
399721297,Test,10/06/2014,21.85,2
83813964,Test,10/06/2014,50.74,1
117722394,Test,10/06/2014,21.82,3
358723897,Test,10/06/2014,22.38,3
105770975,Test,10/06/2014,53.02,3
128974000,Test,10/06/2014,14.6,2
589058681,Test,10/06/2014,0,0
68816185,Test,10/06/2014,69.79,1
101299395,Test,10/06/2014,22.11,1
102315182,Test,10/06/2014,22.4,2
282674824,Test,10/06/2014,11.77,1
175636476,Test,10/06/2014,53.04,2
84742882,Control,10/06/2014,201.32,4
141621191,Test,10/06/2014,0,0
177887917,Test,10/06/2014,5.85,2
46484538,Control,10/06/2014,9.75,1
294498054,Test,10/06/2014,23.66,2
246377626,Test,10/06/2014,6.24,1
118794727,Test,10/06/2014,26.66,1
112151389,Test,10/06/2014,60.52,1
317804146,Test,10/06/2014,28.81,4
160049781,Test,10/06/2014,29.14,4
403077732,Test,10/06/2014,34.15,4
371124736,Test,10/06/2014,55.73,7
70291157,Test,10/06/2014,29.48,3
87205135,Test,10/06/2014,722.59,3
557371539,Control,10/06/2014,39.34,1
120937653,Test,10/06/2014,27.43,4
108494369,Test,10/06/2014,7.52,1
290149414,Test,10/06/2014,224.33,6
335746902,Test,10/06/2014,116.88,2
180997018,Test,10/06/2014,365.51,1
325340091,Test,10/06/2014,3.91,1
73415708,Test,10/06/2014,0.97,1
643544486,Test,10/06/2014,65.18,1
200175542,Test,10/06/2014,2567.11,1
121942032,Test,10/06/2014,86.05,8
95623691,Test,10/06/2014,258.8,1
54590129,Test,10/06/2014,39.89,2
60851311,Test,10/06/2014,888.6,1
372556938,Test,10/06/2014,124.25,9
100881530,Test,10/06/2014,33.13,1
143230663,Control,10/06/2014,127,5
178752454,Test,10/06/2014,279.3,5
176770414,Test,10/06/2014,3.92,1
126060773,Test,10/06/2014,9.82,1
37462541,Test,10/06/2014,3441.6,3
339691565,Test,10/06/2014,48.74,5
192055013,Test,10/06/2014,12.66,3
100634707,Test,10/06/2014,464.27,2
127848162,Test,10/06/2014,28.62,4
510219302,Test,10/06/2014,144.22,4
202365561,Test,10/06/2014,39.07,3
181432899,Test,10/06/2014,156.74,3
215561407,Test,10/06/2014,75.43,2
79032529,Control,10/06/2014,38.95,3
123013837,Control,10/06/2014,48.89,6
90142280,Test,10/06/2014,10.86,1
533682078,Control,10/06/2014,50.45,1
180656738,Control,10/06/2014,0,0
29574247,Test,10/06/2014,70.41,6
44168471,Test,10/06/2014,151.01,6
242284950,Test,10/06/2014,8.9,4
172962941,Test,10/06/2014,11.71,1
177004887,Test,10/06/2014,19.47,1
225009656,Test,10/06/2014,52.33,2
130891115,Test,10/06/2014,170.86,18
88209118,Control,10/06/2014,7.88,1
548127752,Test,10/06/2014,27.26,1
139845339,Test,10/06/2014,24.96,5
36708062,Test,10/06/2014,88.87,2
302674888,Test,10/06/2014,255.79,17
98985044,Test,10/06/2014,26.41,4
272108795,Test,10/06/2014,684.69,13
431862123,Control,10/06/2014,86.72,3
